Week;RAIN_MM
2020-07-06;0
2020-07-13;0
2020-07-20;25
2020-07-27;0
2020-08-03;24
2020-08-10;29
2020-08-17;40
2020-08-24;0
2020-08-31;9
2020-09-07;0
2020-09-14;17
2020-09-21;39
2020-09-28;0
2020-10-05;0
2020-10-12;0
2020-10-19;8
2020-10-26;0
2020-11-02;28
2020-11-09;42
2020-11-16;0
2020-11-23;0
2020-11-30;0
2020-12-07;23
2020-12-14;14
2020-12-21;0
2020-12-28;0
2021-01-04;7
2021-01-11;38
2021-01-18;24
2021-01-25;28
2021-02-01;0
2021-02-08;13
2021-02-15;36
2021-02-22;31
2021-03-01;0
2021-03-08;32
2021-03-15;0
2021-03-22;0
2021-03-29;0
2021-04-05;0
2021-04-12;0
2021-04-19;25
2021-04-26;0
2021-05-03;9
2021-05-10;41
2021-05-17;6
2021-05-24;0
2021-05-31;12
2021-06-07;0
2021-06-14;18
2021-06-21;42
2021-06-28;0
2021-07-05;36
2021-07-12;25
2021-07-19;0
2021-07-26;29
2021-08-02;8
2021-08-09;0
2021-08-16;0
2021-08-23;14
2021-08-30;10
2021-09-06;0
2021-09-13;24
2021-09-20;7
2021-09-27;18
2021-10-04;31
2021-10-11;0
2021-10-18;6
2021-10-25;0
2021-11-01;24
2021-11-08;34
2021-11-15;11
2021-11-22;0
2021-11-29;26
2021-12-06;5
2021-12-13;0
2021-12-20;34
2021-12-27;0
2022-01-03;15
2022-01-10;45
2022-01-17;9
2022-01-24;35
2022-01-31;43
2022-02-07;0
2022-02-14;0
2022-02-21;0
2022-02-28;0
2022-03-07;19
2022-03-14;0
2022-03-21;0
2022-03-28;0
2022-04-04;20
2022-04-11;0
2022-04-18;5
2022-04-25;0
2022-05-02;0
2022-05-09;0
2022-05-16;38
2022-05-23;19
2022-05-30;21
2022-06-06;43
